Name,Status,Termination,Guard,Bound,Cex Size,Trigger Passing Bound, Init Sequence Length, Liveness Loop Length
sbr.sbc_compliance0.sbc_ifc_compliance.fabric_message_compliance.MessageValidityCheckCover[0].SBMI_027_030_031_RegAccessIsValid_Trigger2.SBMI_027_030_031_RegAccessIsValid_Trigger2_COVER,covered,success,safety,-1,54,-1,4,-1 
sbr.sbc_compliance0.sbc_ifc_compliance.fabric_message_compliance.MessageValidityCheckCover[0].SBMI_027_030_031_RegAccessIsValid_Trigger4.SBMI_027_030_031_RegAccessIsValid_Trigger4_COVER,covered,success,safety,-1,62,-1,4,-1 
sbr.sbc_compliance0.sbc_ifc_compliance.fabric_message_compliance.MessageValidityCheckCover[0].SBMI_027_030_031_RegAccessIsValid_Trigger6.SBMI_027_030_031_RegAccessIsValid_Trigger6_COVER,covered,success,safety,-1,54,-1,4,-1 
sbr.sbc_compliance0.sbc_ifc_compliance.fabric_message_compliance.MessageValidityCheckCover[0].SBMI_034_RegWriteIsValid_Trigger.SBMI_034_RegWriteIsValid_Trigger_COVER,not covered bounded,timeout,safety,54,-1,-1,4,-1 
sbr.sbc_compliance0.sbc_ifc_compliance.fabric_message_compliance.MessageValidityCheckCover[0].SBMI_DataMessageIsValid_Trigger.SBMI_DataMessageIsValid_Trigger_COVER,covered,success,safety,-1,62,-1,4,-1 
sbr.sbc_compliance0.sbc_ifc_compliance.fabric_message_compliance.MessageValidityCheckCover[0].SBMI_SimpleMessageIsValid_Trigger.SBMI_SimpleMessageIsValid_Trigger_COVER,covered,success,safety,-1,54,-1,4,-1 
sbr.sbc_compliance0.sbc_ifc_compliance.fabric_message_compliance.MessageValidityCheckCover[1].SBMI_027_030_031_RegAccessIsValid_Trigger1.SBMI_027_030_031_RegAccessIsValid_Trigger1_COVER,covered,success,safety,-1,54,-1,4,-1 
sbr.sbc_compliance0.sbc_ifc_compliance.fabric_message_compliance.MessageValidityCheckCover[1].SBMI_027_030_031_RegAccessIsValid_Trigger2.SBMI_027_030_031_RegAccessIsValid_Trigger2_COVER,covered,success,safety,-1,54,-1,4,-1 
sbr.sbc_compliance0.sbc_ifc_compliance.fabric_message_compliance.MessageValidityCheckCover[1].SBMI_027_030_031_RegAccessIsValid_Trigger3.SBMI_027_030_031_RegAccessIsValid_Trigger3_COVER,not covered bounded,timeout,safety,54,-1,-1,4,-1 
sbr.sbc_compliance0.sbc_ifc_compliance.fabric_message_compliance.MessageValidityCheckCover[1].SBMI_027_030_031_RegAccessIsValid_Trigger4.SBMI_027_030_031_RegAccessIsValid_Trigger4_COVER,not covered bounded,timeout,safety,54,-1,-1,4,-1 
sbr.sbc_compliance0.sbc_ifc_compliance.fabric_message_compliance.MessageValidityCheckCover[1].SBMI_027_030_031_RegAccessIsValid_Trigger6.SBMI_027_030_031_RegAccessIsValid_Trigger6_COVER,covered,success,safety,-1,54,-1,4,-1 
sbr.sbc_compliance0.sbc_ifc_compliance.fabric_message_compliance.MessageValidityCheckCover[1].SBMI_DataMessageIsValid_Trigger.SBMI_DataMessageIsValid_Trigger_COVER,covered,success,safety,-1,62,-1,4,-1 
sbr.sbc_compliance0.sbc_ifc_compliance.fabric_message_compliance.SBMI_025_029_032_035_041_042_RequestCompletionMatch_Trigger4.SBMI_025_029_032_035_041_042_RequestCompletionMatch_Trigger4_COVER,covered,success,safety,-1,54,-1,4,-1 
sbr.sbc_compliance0.sbc_ifc_compliance.fabric_message_compliance.SBMI_036_CompletionIsValid_Trigger1.SBMI_036_CompletionIsValid_Trigger1_COVER,covered,success,safety,-1,62,-1,4,-1 
sbr.sbc_compliance0.sbc_ifc_compliance.fabric_message_compliance.SBMI_036_CompletionIsValid_Trigger2.SBMI_036_CompletionIsValid_Trigger2_COVER,covered,success,safety,-1,54,-1,4,-1 
sbr.sbc_compliance0.sbc_ifc_compliance.fabric_message_compliance.UnsuccessfulSend_3_3_2_1.UnsuccessfulSend_3_3_2_1_COVER,covered,success,safety,-1,54,-1,4,-1 
sbr.sbc_compliance0.sbc_ifc_compliance.fabric_message_compliance.broadcastAggregate_3_4_2.broadcastAggregate_3_4_2_COVER,not covered bounded,timeout,safety,54,-1,-1,4,-1 
sbr.sbc_compliance0.sbc_ifc_compliance.fabric_message_compliance.broadcastMany_3_4_2.broadcastMany_3_4_2_COVER,not covered bounded,timeout,safety,54,-1,-1,4,-1 
sbr.sbc_compliance0.sbc_ifc_compliance.fabric_message_compliance.broadcastSend_3_4_2.broadcastSend_3_4_2_COVER,covered,success,safety,-1,54,-1,4,-1 
sbr.sbc_compliance0.sbc_ifc_compliance.fabric_message_compliance.readSend_3_7_3_1.readSend_3_7_3_1_COVER,covered,success,safety,-1,54,-1,4,-1 
sbr.sbc_compliance0.sbc_ifc_compliance.fabric_message_compliance.selfMessage[0].rcv1_3_7_1.rcv1_3_7_1_COVER,covered,success,safety,-1,48,-1,4,-1 
sbr.sbc_compliance0.sbc_ifc_compliance.fabric_message_compliance.selfMessage[0].selfMessageRcv_3_4_1.selfMessageRcv_3_4_1_COVER,not covered bounded,timeout,safety,54,-1,-1,4,-1 
sbr.sbc_compliance0.sbc_ifc_compliance.fabric_message_compliance.selfMessage[0].selfMessageSend_3_4_1.selfMessageSend_3_4_1_COVER,not covered bounded,timeout,safety,54,-1,-1,4,-1 
sbr.sbc_compliance0.sbc_ifc_compliance.fabric_message_compliance.selfMessage[0].send0_3_7_1.send0_3_7_1_COVER,covered,success,safety,-1,54,-1,4,-1 
sbr.sbc_compliance0.sbc_ifc_compliance.fabric_message_compliance.selfMessage[0].send1_3_7_1.send1_3_7_1_COVER,covered,success,safety,-1,62,-1,4,-1 
sbr.sbc_compliance0.sbc_ifc_compliance.fabric_message_compliance.selfMessage[0].send2_3_7_1.send2_3_7_1_COVER,not covered bounded,timeout,safety,54,-1,-1,4,-1 
sbr.sbc_compliance0.sbc_ifc_compliance.fabric_message_compliance.selfMessage[1].rcv2_3_7_1.rcv2_3_7_1_COVER,covered,success,safety,-1,56,-1,4,-1 
sbr.sbc_compliance0.sbc_ifc_compliance.fabric_message_compliance.selfMessage[1].selfMessageRcv_3_4_1.selfMessageRcv_3_4_1_COVER,not covered bounded,timeout,safety,54,-1,-1,4,-1 
sbr.sbc_compliance0.sbc_ifc_compliance.fabric_message_compliance.selfMessage[1].selfMessageSend_3_4_1.selfMessageSend_3_4_1_COVER,not covered bounded,timeout,safety,54,-1,-1,4,-1 
sbr.sbc_compliance0.sbc_ifc_compliance.fabric_message_compliance.selfMessage[1].send0_3_7_1.send0_3_7_1_COVER,covered,success,safety,-1,54,-1,4,-1 
sbr.sbc_compliance0.sbc_ifc_compliance.fabric_message_compliance.selfMessage[1].send1_3_7_1.send1_3_7_1_COVER,covered,success,safety,-1,62,-1,4,-1 
sbr.sbc_compliance0.sbc_ifc_compliance.fabric_message_compliance.selfMessage[1].send2_3_7_1.send2_3_7_1_COVER,not covered bounded,timeout,safety,54,-1,-1,4,-1 
sbr.sbc_compliance0.sbc_ifc_compliance.fabric_message_compliance.sendNz_3_7_3_1.sendNz_3_7_3_1_COVER,covered,success,safety,-1,62,-1,4,-1 
sbr.sbc_compliance0.sbc_ifc_compliance.fabric_message_compliance.sendZ_3_7_3_1.sendZ_3_7_3_1_COVER,covered,success,safety,-1,54,-1,4,-1 
sbr.sbc_compliance0.sbc_ifc_compliance.fabric_message_compliance.writeSend0_3_7_3_1.writeSend0_3_7_3_1_COVER,covered,success,safety,-1,54,-1,4,-1 
sbr.sbc_compliance0.sbc_ifc_compliance.fabric_message_compliance.writeSend_3_7_3_1.writeSend_3_7_3_1_COVER,covered,success,safety,-1,54,-1,4,-1 
sbr.sbc_compliance0.sbc_ifc_compliance.idleNakCov_fig4_9.idleNakCov_fig4_9_COVER,not covered bounded,timeout,safety,54,-1,-1,4,-1 
sbr.sbc_compliance0.sbc_ifc_compliance.sidebandFlowCov_fig3_5.sidebandFlowCov_fig3_5_COVER,not covered bounded,timeout,safety,54,-1,-1,4,-1 
sbr.sbc_compliance0.sbc_ifc_compliance.sidebandFlowStallCov_fig3_6.sidebandFlowStallCov_fig3_6_COVER,not covered bounded,timeout,safety,54,-1,-1,4,-1 
sbr.sbc_compliance0.sbc_ifc_compliance.top_cover[0].PCPassNPExample.pPassNpFabric_3_5.pPassNpFabric_3_5_COVER,covered,success,safety,-1,54,-1,4,-1 
sbr.sbc_compliance0.sbc_ifc_compliance.top_cover[0].interleavedSendFabric_3_3_2_2.interleavedSendFabric_3_3_2_2_COVER,covered,success,safety,-1,54,-1,4,-1 
sbr.sbc_compliance0.sbc_ifc_compliance.top_cover[0].partialSendFabric_3_3_2_2.partialSendFabric_3_3_2_2_COVER,covered,success,safety,-1,54,-1,4,-1 
sbr.sbc_compliance0.sbc_ifc_compliance.top_cover[1].interleavedSendFabric_3_3_2_2.interleavedSendFabric_3_3_2_2_COVER,covered,success,safety,-1,54,-1,4,-1 
